央视,#genre#
山东卫视,http://116.132.87.246:8888/newlive/live/hls/39/live.m3u8
山西卫视,http://116.132.87.246:8888/newlive/live/hls/27/live.m3u8
陕西卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226326/index.m3u8
陕西卫视,http://116.132.87.246:8888/newlive/live/hls/28/live.m3u8
深圳卫视,http://116.132.87.246:8888/newlive/live/hls/38/live.m3u8
四川卫视,http://116.132.87.246:8888/newlive/live/hls/47/live.m3u8
天津卫视,http://116.132.87.246:8888/newlive/live/hls/37/live.m3u8
西藏卫视,http://116.132.87.246:8888/newlive/live/hls/44/live.m3u8
新疆卫视,http://116.132.87.246:8888/newlive/live/hls/51/live.m3u8
浙江卫视,http://116.132.87.246:8888/newlive/live/hls/30/live.m3u8
重庆卫视,http://116.132.87.246:8888/newlive/live/hls/48/live.m3u8
其它,#genre#
CHC家庭影院,http://61.136.96.78:880/62.m3u8
CHC动作电影,http://61.136.96.78:880/63.m3u8
CHC高清电影,http://61.136.96.78:880/64.m3u8
金鹰纪实,http://116.132.87.246:8888/newlive/live/hls/56/live.m3u8
金鹰纪实,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226351/index.m3u8
河南都市,http://61.136.96.78:880/67.m3u8
河南民生,http://61.136.96.78:880/68.m3u8
河南法治,http://61.136.96.78:880/69.m3u8
河南电视剧,http://61.136.96.78:880/70.m3u8
河南新闻,http://61.136.96.78:880/71.m3u8
河南公共,http://61.136.96.78:880/73.m3u8
河南乡村,http://61.136.96.78:880/74.m3u8
河南戏曲,http://61.136.96.78:880/84.m3u8
河南收藏天下,http://61.136.96.78:880/85.m3u8
河南国际,http://61.136.96.78:880/75.m3u8
睛彩中原,http://61.136.96.78:880/61.m3u8
中华功夫,http://61.136.96.78:880/86.m3u8
郑州1新闻综合,http://61.136.96.78:880/76.m3u8
郑州2商都频道,http://61.136.96.78:880/77.m3u8
郑州3文体旅游,http://61.136.96.78:880/78.m3u8
郑州4影视戏曲,http://61.136.96.78:880/79.m3u8
郑州5妇女儿童,http://61.136.96.78:880/80.m3u8
郑州6都市生活,http://61.136.96.78:880/81.m3u8
洛阳1新闻,http://61.136.96.78:880/105.m3u8
洛阳2科教,http://61.136.96.78:880/103.m3u8
洛阳3文旅,http://61.136.96.78:880/104.m3u8
巩义综合,http://61.136.96.78:880/59.m3u8
新密综合,http://61.136.96.78:880/82.m3u8
新郑综合,http://61.136.96.78:880/89.m3u8
沈丘新闻综合,http://61.136.96.78:880/60.m3u8
快乐垂钓,http://61.136.96.78:880/88.m3u8
纪实人文,http://61.136.96.78:880/95.m3u8
